accession,phylum,class,order,family,genus
JX681814,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
JX887877,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JN882284,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
JN882285,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
JN882286,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
JN882287,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
JX100809,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
JX100810,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
JX100811,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
JX100812,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
JX100813,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
JX100814,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
JF966203,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JN654439,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JN712910,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JN797796,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JN797798,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JN790865,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JX145341,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides
JX145342,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides
JX569801,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
JN377894,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
JX316028,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
JQ312117,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
JX163858,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
JX403940,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
JN662425,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
HE815464,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
JN377895,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
JX193904,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
JF939047,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
JN564907,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
JX104231,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
JX123262,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
JQ809650,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter
JQ867099,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter
JN191664,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
AB712291,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
HQ317390,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
JQ729990,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
JQ729991,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
JQ729992,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
JQ660954,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
JQ619704,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JQ691612,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
HE806280,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
JQ246028,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
HE600015,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya
JQ177062,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
JQ177063,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
JQ340774,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
JN651747,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
JN585957,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
JN939331,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
JN939332,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
HE608841,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
JN797797,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JN800508,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
JQ062992,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
HM144387,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JN132397,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
JF974339,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HM208537,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AB609718,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
JN600960,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JN638751,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JF912400,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
HM997020,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
FR823450,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
JF773396,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Liberibacter
JN202312,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HQ698922,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
HQ728263,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
HQ728264,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
HQ728265,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
HQ728266,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
JF767208,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
JF767209,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
JF767210,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
JF344709,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
HM568888,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides
GU296433,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
HQ201307,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
HQ201308,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
CP002495,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
HQ110084,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
HQ377373,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Liberibacter
HQ641380,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
HM563683,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
GU396103,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
GU459069,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
GU911303,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
GU911304,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
HM461982,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
GU323318,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
GU911519,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
HM004124,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
HM452125,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
HM452126,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
GU949551,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides
HM134276,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HM137666,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HM242243,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix
HM114315,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
HM144385,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix
HM144386,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix
GU815339,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
HM072038,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
GQ468526,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
GQ443085,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
GQ478081,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ478082,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ478083,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ478084,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ478085,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ478086,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ478087,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ478088,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ241246,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter
GQ866233,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
GQ452243,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
GQ357916,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
GQ357915,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
FJ982340,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
FJ937737,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
FJ792813,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
EU794049,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Hamiltonella
FJ230960,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
EU719189,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides
FM180578,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU588980,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
FJ008913,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
EU874396,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
EU734171,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU734172,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU734174,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU771092,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
CU468217,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum
EU330206,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AP009390,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
EF583821,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
DQ840344,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
EF602154,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
AB285204,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
DQ674738,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
EF523948,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
CP000622,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
CP000623,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
CP000624,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
CP000625,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
CP000315,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
DQ150593,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
DQ289555,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
DQ289556,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
AM156909,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AP008983,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
DQ222851,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
DQ222855,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
DQ123818,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
AY962392,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
AY453853,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
AY375531,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
AJ560763,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
AY266303,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
AY082070,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
AJ298298,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AJ278322,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
AF063097,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
X96987,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
X99260,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
M11813,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KM514685,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
KP063541,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF981876,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacteroides
KJ725374,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KM606994,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM606995,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM606996,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM606997,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM606998,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM606999,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
